original_id,target_intent,prompt_used,generated_text,model,status,timestamp,original_text
sample_0,grammar,v1.ai_refined_grammar,"I think phones in class can be helpful because students can search fast, but sometimes it makes them distracted and they do not listen to the teacher.",GEMINI:gemini-2.5-flash,OK,2025-12-28T19:11:23.146700+00:00,"I think phones in class can be helpful because students can search fast, but sometimes it make them distracted and they not listen the teacher."
sample_1,grammar,v1.ai_refined_grammar,"My friend says school starts too early, and it makes us tired in the morning. I agree because students are not focused when they are sleepy.",GEMINI:gemini-2.5-flash,OK,2025-12-28T19:11:25.932861+00:00,"My friend say school start too early, and it make us tired in the morning. I agree because students is not focus when they sleepy."
sample_2,vocabulary,v1.ai_refined_vocabulary,"The movie was compelling and the actors were talented. The story was captivating too, but the ending was satisfactory only in some parts.",GEMINI:gemini-2.5-flash,OK,2025-12-28T19:11:29.825909+00:00,"The movie was good and the actors were good. The story was good too, but the ending was good only in some parts."
sample_3,vocabulary,v1.ai_refined_vocabulary,I think this plan is beneficial because it is advantageous for students and favorable for teachers. It is an effective way to do the project.,GEMINI:gemini-2.5-flash,OK,2025-12-28T19:11:32.819165+00:00,I think this plan is nice because it is nice for students and nice for teachers. It is a nice way to do the project.
sample_4,cohesion,v1.ai_refined_cohesion,"I like team sports because you can learn to cooperate. Also, people can make friends, and it keeps you healthy.",GEMINI:gemini-2.5-flash,OK,2025-12-28T19:11:37.270950+00:00,I like team sports. You can learn to cooperate. People can make friends. It keeps you healthy.
sample_5,cohesion,v1.ai_refined_cohesion,"Schools should teach coding because it helps with problem solving. Furthermore, jobs need these skills. Finally, students feel more confident.",GEMINI:gemini-2.5-flash,OK,2025-12-28T19:11:41.935198+00:00,Schools should teach coding. It helps with problem solving. Jobs need these skills. Students feel more confident.
sample_6,syntax,v1.ai_refined_syntax,"In my opinion, the rule should be changed. Many students have jobs after school and they need time to rest and do homework. These demands make it hard.",GEMINI:gemini-2.5-flash,OK,2025-12-28T19:11:57.954171+00:00,In my opinion the rule should be changed because many students have jobs after school and they need time to rest and do homework which makes it hard.
sample_7,syntax,v1.ai_refined_syntax,"Some students learn faster, while others need more time. This difference can be helpful, but it can also be confusing for them.",GEMINI:gemini-2.5-flash,OK,2025-12-28T19:12:02.065617+00:00,"Some students learn faster. Others need more time. It can be helpful, but it can also be confusing for them."
sample_8,full_rewrite,v1.ai_full_rewrite,I strongly believe that students ought to engage in daily reading. This practice significantly broadens their vocabulary and allows them to comprehend a variety of viewpoints.,GEMINI:gemini-2.5-flash,OK,2025-12-28T19:12:04.914059+00:00,I agree that students should read every day because reading helps you learn new words and you can understand different ideas.
sample_9,full_rewrite,v1.ai_full_rewrite,"I disagree with school uniforms. They are often uncomfortable, limiting students' self-expression and personal style.",GEMINI:gemini-2.5-flash,OK,2025-12-28T19:12:11.904352+00:00,I disagree with wearing uniforms at school. They are uncomfortable and students want to show their style.
