source_text_id,source_text,prompt_id,prompt_version,variant,level,aspects,model,generated_text,status,error,generated_at
SYN_G1,"I think phones in class can be helpful because students can search fast, but sometimes it make them distracted and they not listen the teacher.",v1.ai_refined_grammar,1,ai_refined,light,grammar,gpt-5-mini,"I think phones in class can be helpful because students can search fast, but sometimes it makes them distracted and they do not listen to the teacher.",OK,,2025-12-26T19:19:07.770556+00:00
SYN_G2,"My friend say school start too early, and it make us tired in the morning. I agree because students is not focus when they sleepy.",v1.ai_refined_grammar,1,ai_refined,light,grammar,gpt-5-mini,"My friend says school starts too early, and it makes us tired in the morning. I agree because students are not focused when they are sleepy.",OK,,2025-12-26T19:19:13.763541+00:00
SYN_V1,"The movie was good and the actors were good. The story was good too, but the ending was good only in some parts.",v1.ai_refined_vocabulary,1,ai_refined,light,vocabulary,gpt-5-mini,"The movie was enjoyable and the actors were convincing. The story was engaging too, but the ending was satisfactory only in some parts.",OK,,2025-12-26T19:19:23.461853+00:00
SYN_V2,I think this plan is nice because it is nice for students and nice for teachers. It is a nice way to do the project.,v1.ai_refined_vocabulary,1,ai_refined,light,vocabulary,gpt-5-mini,I think this plan is beneficial because it is helpful for students and suitable for teachers. It is a practical way to do the project.,OK,,2025-12-26T19:19:36.574110+00:00
SYN_C1,I like team sports. You can learn to cooperate. People can make friends. It keeps you healthy.,v1.ai_refined_cohesion,1,ai_refined,light,cohesion,gpt-5-mini,"I like team sports. For example, you can learn to cooperate. Also, people can make friends. In addition, it keeps you healthy.",OK,,2025-12-26T19:19:43.628735+00:00
SYN_C2,Schools should teach coding. It helps with problem solving. Jobs need these skills. Students feel more confident.,v1.ai_refined_cohesion,1,ai_refined,light,cohesion,gpt-5-mini,"Schools should teach coding. It helps with problem solving. Also, jobs need these skills. As a result, students feel more confident.",OK,,2025-12-26T19:19:55.775918+00:00
SYN_S1,In my opinion the rule should be changed because many students have jobs after school and they need time to rest and do homework which makes it hard.,v1.ai_refined_syntax,1,ai_refined,light,syntax,gpt-5-mini,"In my opinion, the rule should be changed. Many students have jobs after school and they need time to rest and do homework, which makes it hard.",OK,,2025-12-26T19:20:13.456609+00:00
SYN_S2,"Some students learn faster. Others need more time. It can be helpful, but it can also be confusing for them.",v1.ai_refined_syntax,1,ai_refined,light,syntax,gpt-5-mini,"Some students learn faster, while others need more time. It can be helpful, but it can also be confusing for them.",OK,,2025-12-26T19:20:20.896902+00:00
SYN_F1,I agree that students should read every day because reading helps you learn new words and you can understand different ideas.,v1.ai_full_rewrite,1,ai_full,maximal_rewrite,"grammar,vocabulary,cohesion,syntax",gpt-5-mini,I believe students should read daily because it expands their vocabulary and helps them grasp a variety of ideas.,OK,,2025-12-26T19:20:26.829178+00:00
SYN_F2,I disagree with wearing uniforms at school. They are uncomfortable and students want to show their style.,v1.ai_full_rewrite,1,ai_full,maximal_rewrite,"grammar,vocabulary,cohesion,syntax",gpt-5-mini,"I oppose mandatory school uniforms. They often feel restrictive, and pupils should be free to express their personal style.",OK,,2025-12-26T19:20:33.403615+00:00
